Row Labels,Count of Latency
"1728782087437	",22
"1728782087438	",17
"1728782087439	",14
"1728782087440	",19
"1728782087441	",18
"1728782087442	",17
"1728782087443	",22
"1728782087444	",14
"1728782087445	",19
"1728782087446	",19
"1728782087447	",16
"1728782087448	",15
"1728782087449	",20
"1728782087450	",17
"1728782087451	",22
"1728782087452	",19
"1728782087453	",18
"1728782087454	",19
"1728782087455	",15
"1728782087456	",19
"1728782087457	",22
"1728782087458	",16
"1728782087459	",22
"1728782087460	",17
"1728782087461	",18
"1728782087462	",18
"1728782087463	",15
"1728782087464	",15
"1728782087465	",18
"1728782087466	",23
"1728782087467	",18
"1728782087468	",23
"1728782087469	",20
"1728782087470	",18
"1728782087471	",20
"1728782087472	",19
"1728782087473	",16
"1728782087474	",22
"1728782087475	",19
"1728782087476	",21
"1728782087477	",20
"1728782087478	",18
"1728782087479	",18
"1728782087480	",23
"1728782087481	",20
"1728782087482	",17
"1728782087483	",18
"1728782087484	",15
"1728782087485	",19
"1728782087486	",17
"1728782087487	",14
"1728782087488	",17
"1728782087489	",19
"1728782087490	",17
"1728782087491	",21
"1728782087492	",20
"1728782087493	",21
"1728782087494	",19
"1728782087495	",11
"1728782087496	",23
"1728782087497	",14
"1728782087498	",23
"1728782087499	",18
"1728782087500	",21
"1728782087501	",16
"1728782087502	",19
"1728782087503	",19
"1728782087504	",19
"1728782087505	",18
"1728782087506	",21
"1728782087507	",12
"1728782087508	",24
"1728782087509	",14
"1728782087510	",20
"1728782087511	",21
"1728782087512	",11
"1728782087513	",20
"1728782087514	",19
"1728782087515	",5
"1728782087518	",2
"1728782087519	",8
"1728782087520	",7
"1728782087521	",6
"1728782087522	",15
"1728782087523	",8
"1728782087524	",14
"1728782087525	",5
"1728782087526	",5
"1728782087527	",15
"1728782087528	",13
"1728782087529	",10
"1728782087530	",12
"1728782087531	",11
"1728782087532	",8
"1728782087533	",8
"1728782087534	",14
"1728782087535	",9
"1728782087536	",9
"1728782087537	",10
"1728782087538	",7
"1728782087539	",13
"1728782087540	",5
"1728782087541	",15
"1728782087542	",9
"1728782087543	",11
"1728782087544	",12
"1728782087545	",16
"1728782087546	",17
"1728782087547	",14
"1728782087548	",9
"1728782087549	",7
"1728782087550	",9
"1728782087551	",13
"1728782087552	",12
"1728782087553	",14
"1728782087554	",9
"1728782087555	",19
"1728782087556	",10
"1728782087557	",4
"1728782087559	",13
"1728782087560	",19
"1728782087561	",11
"1728782087562	",17
"1728782087563	",14
"1728782087564	",18
"1728782087565	",12
"1728782087566	",11
"1728782087567	",14
"1728782087568	",16
"1728782087569	",18
"1728782087570	",21
"1728782087571	",18
"1728782087572	",19
"1728782087573	",1
"1728782087575	",13
"1728782087576	",15
"1728782087577	",13
"1728782087578	",17
"1728782087579	",19
"1728782087580	",11
"1728782087581	",18
"1728782087582	",20
"1728782087583	",18
"1728782087584	",18
"1728782087585	",14
"1728782087586	",20
"1728782087587	",18
"1728782087588	",11
"1728782087589	",12
"1728782087590	",14
"1728782087591	",22
"1728782087592	",18
"1728782087593	",12
"1728782087595	",9
"1728782087596	",9
"1728782087597	",14
"1728782087599	",14
"1728782087600	",5
"1728782087601	",13
"1728782087602	",10
"1728782087603	",18
"1728782087604	",13
"1728782087605	",15
"1728782087606	",17
"1728782087607	",16
"1728782087608	",12
"1728782087609	",19
"1728782087610	",16
"1728782087611	",17
"1728782087612	",14
"1728782087613	",16
"1728782087614	",20
"1728782087615	",20
"1728782087616	",19
"1728782087617	",16
"1728782087618	",16
"1728782087619	",17
"1728782087620	",23
"1728782087621	",22
"1728782087623	",9
"1728782087624	",25
"1728782087625	",15
"1728782087626	",19
"1728782087627	",21
"1728782087628	",24
"1728782087629	",22
"1728782087630	",22
"1728782087631	",17
"1728782087632	",23
"1728782087633	",19
"1728782087634	",21
"1728782087635	",23
"1728782087636	",22
"1728782087637	",20
"1728782087638	",25
"1728782087639	",21
"1728782087640	",22
"1728782087641	",20
"1728782087642	",21
"1728782087643	",21
"1728782087644	",12
"1728782087645	",20
"1728782087646	",23
"1728782087647	",14
"1728782087648	",25
"1728782087649	",14
"1728782087650	",15
"1728782087651	",12
"1728782087652	",22
"1728782087653	",16
"1728782087654	",10
"1728782087655	",22
"1728782087656	",19
"1728782087657	",23
"1728782087658	",21
"1728782087659	",21
"1728782087660	",20
"1728782087661	",26
"1728782087662	",9
"1728782087663	",22
"1728782087664	",20
"1728782087665	",14
"1728782087666	",19
"1728782087667	",17
"1728782087668	",24
"1728782087669	",21
"1728782087670	",13
"1728782087671	",12
"1728782087672	",14
"1728782087673	",13
"1728782087674	",26
"1728782087675	",16
"1728782087676	",19
"1728782087677	",11
"1728782087678	",21
"1728782087679	",21
"1728782087680	",21
"1728782087681	",7
"1728782087682	",18
"1728782087683	",26
"1728782087684	",17
"1728782087685	",20
"1728782087686	",22
"1728782087687	",21
"1728782087688	",13
"1728782087689	",23
"1728782087690	",22
"1728782087691	",12
"1728782087692	",26
"1728782087693	",19
"1728782087694	",22
"1728782087695	",24
"1728782087696	",21
"1728782087697	",19
"1728782087698	",18
"1728782087699	",18
"1728782087700	",22
"1728782087701	",9
"1728782087702	",27
"1728782087703	",14
"1728782087704	",13
"1728782087705	",17
"1728782087706	",21
"1728782087707	",18
"1728782087708	",21
"1728782087709	",24
"1728782087710	",22
"1728782087711	",20
"1728782087712	",24
"1728782087713	",22
"1728782087714	",23
"1728782087715	",24
"1728782087716	",22
"1728782087717	",16
"1728782087718	",23
"1728782087719	",19
"1728782087720	",25
"1728782087721	",17
"1728782087722	",25
"1728782087723	",22
"1728782087724	",18
"1728782087725	",20
"1728782087726	",27
"1728782087727	",22
"1728782087728	",28
"1728782087729	",19
"1728782087730	",26
"1728782087731	",23
"1728782087732	",25
"1728782087733	",26
"1728782087734	",24
"1728782087735	",27
"1728782087736	",21
"1728782087737	",25
"1728782087738	",27
"1728782087739	",24
"1728782087740	",24
"1728782087741	",26
"1728782087742	",24
"1728782087743	",24
"1728782087744	",24
"1728782087745	",15
"1728782087746	",13
"1728782087747	",23
"1728782087748	",25
"1728782087749	",17
"1728782087750	",28
"1728782087751	",20
"1728782087752	",28
"1728782087753	",25
"1728782087754	",26
"1728782087755	",23
"1728782087756	",25
"1728782087757	",30
"1728782087758	",22
"1728782087759	",26
"1728782087760	",26
"1728782087761	",27
"1728782087762	",24
"1728782087763	",29
"1728782087764	",23
"1728782087765	",25
"1728782087766	",27
"1728782087767	",26
"1728782087768	",24
"1728782087769	",23
"1728782087770	",23
"1728782087771	",26
"1728782087772	",25
"1728782087773	",25
"1728782087774	",24
"1728782087775	",27
"1728782087776	",26
"1728782087777	",22
"1728782087778	",23
"1728782087779	",28
"1728782087780	",21
"1728782087781	",28
"1728782087782	",25
"1728782087783	",20
"1728782087784	",29
"1728782087785	",20
"1728782087786	",28
"1728782087787	",25
"1728782087788	",21
"1728782087789	",25
"1728782087790	",21
"1728782087791	",27
"1728782087792	",23
"1728782087793	",24
"1728782087794	",24
"1728782087795	",27
"1728782087796	",21
"1728782087797	",25
"1728782087798	",19
"1728782087799	",24
"1728782087800	",21
"1728782087801	",22
"1728782087802	",22
"1728782087803	",20
"1728782087804	",23
"1728782087805	",20
"1728782087806	",26
"1728782087807	",22
"1728782087808	",24
"1728782087809	",28
"1728782087810	",23
"1728782087811	",24
"1728782087812	",22
"1728782087813	",23
"1728782087814	",25
"1728782087815	",25
"1728782087816	",20
"1728782087817	",26
"1728782087818	",29
"1728782087819	",20
"1728782087820	",23
"1728782087821	",22
"1728782087822	",24
"1728782087823	",25
"1728782087824	",26
"1728782087825	",22
"1728782087826	",26
"1728782087827	",24
"1728782087828	",25
"1728782087829	",26
"1728782087830	",22
"1728782087831	",26
"1728782087832	",26
"1728782087833	",22
"1728782087834	",27
"1728782087835	",25
"1728782087836	",21
"1728782087837	",26
"1728782087838	",21
"1728782087839	",26
"1728782087840	",25
"1728782087841	",26
"1728782087842	",17
"1728782087843	",29
"1728782087844	",21
"1728782087845	",25
"1728782087846	",27
"1728782087847	",22
"1728782087848	",24
"1728782087849	",25
"1728782087850	",28
"1728782087851	",25
"1728782087852	",17
"1728782087853	",29
"1728782087854	",18
"1728782087855	",26
"1728782087856	",26
"1728782087857	",13
"1728782087858	",29
"1728782087859	",19
"1728782087860	",23
"1728782087861	",25
"1728782087862	",24
"1728782087863	",23
"1728782087864	",27
"1728782087865	",20
"1728782087866	",26
"1728782087867	",26
"1728782087868	",21
"1728782087869	",24
"1728782087870	",22
"1728782087871	",23
"1728782087872	",25
"1728782087873	",24
"1728782087874	",26
"1728782087875	",22
"1728782087876	",19
"1728782087877	",27
"1728782087878	",19
"1728782087879	",27
"1728782087880	",27
"1728782087881	",22
"1728782087882	",28
"1728782087883	",17
"1728782087884	",28
"1728782087885	",23
"1728782087886	",24
"1728782087887	",23
"1728782087888	",22
"1728782087889	",27
"1728782087890	",23
"1728782087891	",24
"1728782087892	",28
"1728782087893	",22
"1728782087894	",17
"1728782087895	",22
"1728782087896	",24
"1728782087897	",22
"1728782087898	",25
"1728782087899	",21
"1728782087900	",23
"1728782087901	",23
"1728782087902	",19
"1728782087903	",23
"1728782087904	",22
"1728782087905	",24
"1728782087906	",27
"1728782087907	",22
"1728782087908	",26
"1728782087909	",25
"1728782087910	",25
"1728782087911	",22
"1728782087912	",29
"1728782087913	",23
"1728782087914	",24
"1728782087915	",27
"1728782087916	",26
"1728782087917	",22
"1728782087918	",26
"1728782087919	",17
"1728782087920	",27
"1728782087921	",27
"1728782087922	",20
"1728782087923	",24
"1728782087924	",29
"1728782087925	",24
"1728782087926	",23
"1728782087927	",23
"1728782087928	",28
"1728782087929	",24
"1728782087930	",24
"1728782087931	",25
"1728782087932	",28
"1728782087933	",25
"1728782087934	",24
"1728782087935	",21
"1728782087936	",28
"1728782087937	",20
"1728782087938	",27
"1728782087939	",26
"1728782087940	",19
"1728782087941	",29
"1728782087942	",26
"1728782087943	",20
"1728782087944	",26
"1728782087945	",28
"1728782087946	",22
"1728782087947	",25
"1728782087948	",29
"1728782087949	",21
"1728782087950	",26
"1728782087951	",27
"1728782087952	",21
"1728782087953	",26
"1728782087954	",25
"1728782087955	",21
"1728782087956	",25
"1728782087957	",26
"1728782087958	",25
"1728782087959	",23
"1728782087960	",26
"1728782087961	",26
"1728782087962	",25
"1728782087963	",26
"1728782087964	",23
"1728782087965	",26
"1728782087966	",26
"1728782087967	",25
"1728782087968	",25
"1728782087969	",26
"1728782087970	",25
"1728782087971	",22
"1728782087977	",11
"1728782087978	",22
"1728782087979	",31
"1728782087980	",22
"1728782087981	",23
"1728782087982	",28
"1728782087983	",23
"1728782087984	",24
"1728782087985	",28
"1728782087986	",24
"1728782087987	",25
"1728782087988	",25
"1728782087989	",25
"1728782087990	",27
"1728782087991	",23
"1728782087992	",26
"1728782087993	",26
"1728782087994	",24
"1728782087995	",25
"1728782087996	",28
"1728782087997	",21
"1728782087998	",27
"1728782087999	",27
"1728782088000	",20
"1728782088001	",26
"1728782088002	",28
"1728782088003	",23
"1728782088004	",25
"1728782088005	",27
"1728782088006	",20
"1728782088007	",27
"1728782088008	",27
"1728782088009	",22
"1728782088010	",27
"1728782088011	",24
"1728782088012	",26
"1728782088013	",28
"1728782088014	",22
"1728782088015	",27
"1728782088016	",26
"1728782088017	",25
"1728782088018	",24
"1728782088019	",28
"1728782088020	",25
"1728782088021	",28
"1728782088022	",25
"1728782088023	",23
"1728782088024	",28
"1728782088025	",27
"1728782088026	",26
"1728782088027	",25
"1728782088028	",24
"1728782088029	",31
"1728782088030	",24
"1728782088031	",27
"1728782088032	",28
"1728782088033	",25
"1728782088034	",27
"1728782088035	",4
"1728782088036	",32
"1728782088037	",18
"1728782088038	",22
"1728782088039	",26
"1728782088040	",30
"1728782088041	",21
"1728782088042	",25
"1728782088043	",27
"1728782088044	",25
"1728782088045	",28
"1728782088046	",27
"1728782088047	",22
"1728782088048	",24
"1728782088049	",28
"1728782088050	",26
"1728782088051	",28
"1728782088052	",26
"1728782088053	",24
"1728782088054	",26
"1728782088055	",28
"1728782088056	",24
"1728782088057	",26
"1728782088058	",23
"1728782088059	",31
"1728782088060	",22
"1728782088061	",27
"1728782088062	",24
"1728782088063	",26
"1728782088064	",29
"1728782088065	",25
"1728782088066	",28
"1728782088067	",21
"1728782088068	",25
"1728782088069	",32
"1728782088070	",23
"1728782088071	",23
"1728782088072	",26
"1728782088073	",24
"1728782088074	",30
"1728782088075	",28
"1728782088076	",22
"1728782088077	",24
"1728782088078	",28
"1728782088079	",29
"1728782088080	",22
"1728782088081	",27
"1728782088082	",25
"1728782088083	",26
"1728782088084	",31
"1728782088085	",23
"1728782088086	",24
"1728782088087	",25
"1728782088088	",28
"1728782088089	",27
"1728782088090	",26
"1728782088091	",24
"1728782088092	",23
"1728782088093	",25
"1728782088094	",32
"1728782088095	",25
"1728782088096	",25
"1728782088097	",24
"1728782088098	",23
"1728782088099	",31
"1728782088100	",25
"1728782088101	",24
"1728782088102	",24
"1728782088103	",27
"1728782088104	",28
"1728782088105	",24
"1728782088106	",23
"1728782088107	",24
"1728782088108	",32
"1728782088109	",27
"1728782088110	",23
"1728782088111	",26
"1728782088112	",27
"1728782088113	",26
"1728782088114	",24
"1728782088115	",26
"1728782088116	",29
"1728782088117	",23
"1728782088118	",22
"1728782088119	",30
"1728782088120	",25
"1728782088121	",21
"1728782088122	",27
"1728782088123	",25
"1728782088124	",27
"1728782088125	",25
"1728782088126	",26
"1728782088127	",25
"1728782088128	",26
"1728782088129	",27
"1728782088130	",25
"1728782088131	",28
"1728782088132	",24
"1728782088133	",24
"1728782088134	",31
"1728782088135	",22
"1728782088136	",28
"1728782088137	",24
"1728782088138	",29
"1728782088139	",23
"1728782088140	",25
"1728782088141	",29
"1728782088142	",25
"1728782088143	",24
"1728782088144	",26
"1728782088145	",29
"1728782088146	",25
"1728782088147	",23
"1728782088148	",29
"1728782088149	",23
"1728782088150	",24
"1728782088151	",26
"1728782088152	",27
"1728782088153	",21
"1728782088154	",29
"1728782088155	",27
"1728782088156	",26
"1728782088157	",25
"1728782088158	",25
"1728782088159	",25
"1728782088160	",28
"1728782088161	",25
"1728782088162	",21
"1728782088163	",30
"1728782088164	",25
"1728782088165	",24
"1728782088166	",24
"1728782088167	",26
"1728782088168	",24
"1728782088169	",24
"1728782088170	",28
"1728782088171	",28
"1728782088172	",21
"1728782088173	",24
"1728782088174	",30
"1728782088175	",21
"1728782088176	",22
"1728782088177	",27
"1728782088178	",22
"1728782088179	",20
"1728782088180	",28
"1728782088181	",28
"1728782088182	",25
"1728782088183	",23
"1728782088184	",22
"1728782088185	",30
"1728782088186	",23
"1728782088187	",19
"1728782088188	",27
"1728782088189	",20
"1728782088190	",26
"1728782088191	",27
"1728782088192	",26
"1728782088193	",23
"1728782088194	",27
"1728782088195	",25
"1728782088196	",25
"1728782088197	",25
"1728782088198	",26
"1728782088199	",19
"1728782088200	",28
"1728782088201	",29
"1728782088202	",18
"1728782088203	",24
"1728782088204	",18
"1728782088205	",27
"1728782088206	",29
"1728782088207	",22
"1728782088208	",21
"1728782088209	",26
"1728782088210	",27
"1728782088211	",28
"1728782088212	",21
"1728782088213	",25
"1728782088214	",28
"1728782088215	",25
"1728782088216	",24
"1728782088217	",27
"1728782088218	",25
"1728782088219	",19
"1728782088220	",26
"1728782088221	",27
"1728782088222	",24
"1728782088223	",19
"1728782088224	",29
"1728782088225	",24
"1728782088226	",24
"1728782088227	",27
"1728782088228	",24
"1728782088229	",26
"1728782088230	",27
"1728782088231	",24
"1728782088232	",28
"1728782088233	",23
"1728782088234	",22
"1728782088235	",28
"1728782088236	",27
"1728782088237	",20
"1728782088238	",22
"1728782088239	",31
"1728782088240	",23
"1728782088241	",20
"1728782088242	",29
"1728782088243	",26
"1728782088244	",24
"1728782088245	",25
"1728782088246	",26
"1728782088247	",27
"1728782088248	",24
"1728782088249	",24
"1728782088250	",28
"1728782088251	",25
"1728782088252	",22
"1728782088253	",28
"1728782088254	",23
"1728782088255	",25
"1728782088256	",25
"1728782088257	",26
"1728782088258	",24
"1728782088259	",24
"1728782088260	",29
"1728782088261	",27
"1728782088262	",22
"1728782088263	",23
"1728782088264	",29
"1728782088265	",28
"1728782088266	",17
"1728782088267	",28
"1728782088268	",26
"1728782088269	",21
"1728782088270	",24
"1728782088271	",28
"1728782088272	",23
"1728782088273	",25
"1728782088274	",30
"1728782088275	",20
"1728782088276	",23
"1728782088277	",29
"1728782088278	",27
"1728782088279	",22
"1728782088280	",25
"1728782088281	",26
"1728782088282	",28
"1728782088283	",23
"1728782088284	",27
"1728782088285	",28
"1728782088286	",22
